Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Unused
1679803200000,1749.58000000,1749.96000000,1746.00000000,1749.12000000,4774.80730000,1679806799999,8346783.11381100,11154,2156.05420000,3769079.04939400,0
1679806800000,1749.11000000,1754.43000000,1746.17000000,1753.24000000,5931.78880000,1679810399999,10379901.31012900,12400,3262.56930000,5709546.54745900,0
1679810400000,1753.23000000,1755.72000000,1750.41000000,1751.91000000,6728.66610000,1679813999999,11789429.57260800,14201,3571.99040000,6258272.49739000,0
1679814000000,1751.92000000,1755.46000000,1751.30000000,1752.55000000,9590.00210000,1679817599999,16809542.61948400,18145,4954.44980000,8684600.21148300,0
1679817600000,1752.55000000,1787.64000000,1749.80000000,1774.75000000,36934.38460000,1679821199999,65369650.62635200,55346,18587.68840000,32911985.64358600,0
1679821200000,1774.75000000,1782.16000000,1771.14000000,1774.99000000,18484.19550000,1679824799999,32823097.64116600,30551,8781.09630000,15594078.37238600,0
1679824800000,1775.00000000,1775.55000000,1766.40000000,1771.43000000,10682.08520000,1679828399999,18917991.48566200,20469,5187.28670000,9186177.41731800,0
1679828400000,1771.44000000,1782.31000000,1767.54000000,1777.76000000,14036.97150000,1679831999999,24886914.22393700,23057,6850.92510000,12149457.24145900,0
1679832000000,1777.77000000,1782.64000000,1770.87000000,1775.57000000,17773.26790000,1679835599999,31566683.02023800,27870,8949.09740000,15895349.99899700,0
1679835600000,1775.56000000,1801.00000000,1773.16000000,1796.47000000,38926.72850000,1679839199999,69644261.10376400,47299,20116.35080000,35977996.17178900,0
1679839200000,1796.48000000,1796.99000000,1753.02000000,1763.63000000,48587.07620000,1679842799999,86072908.08566500,63502,25319.56090000,44820521.22377400,0
1679842800000,1763.63000000,1769.82000000,1759.82000000,1762.81000000,18914.21010000,1679846399999,33391680.08748500,30152,9679.63290000,17089503.83411900,0
1679846400000,1762.81000000,1767.77000000,1754.33000000,1756.80000000,13163.91360000,1679849999999,23194125.23571500,23085,6082.44570000,10717225.51931200,0
1679850000000,1756.80000000,1768.46000000,1755.25000000,1766.97000000,11456.47430000,1679853599999,20189713.88313200,20765,6192.06100000,10914172.98929300,0
1679853600000,1766.98000000,1771.82000000,1763.88000000,1765.99000000,8558.74270000,1679857199999,15125729.75191300,17076,4484.15620000,7925075.45254600,0
1679857200000,1765.98000000,1769.45000000,1764.00000000,1765.82000000,5064.14260000,1679860799999,8943863.88441200,11742,2300.89450000,4063450.59674300,0
1679860800000,1765.83000000,1769.69000000,1754.39000000,1760.35000000,12737.32980000,1679864399999,22425244.12299300,24485,5622.74710000,9901626.77528400,0
1679864400000,1760.35000000,1764.31000000,1757.01000000,1764.12000000,6148.17950000,1679867999999,10819716.86025800,15442,3227.22730000,5679477.12281800,0
1679868000000,1764.11000000,1779.22000000,1761.22000000,1776.08000000,13690.18850000,1679871599999,24255493.16049000,28304,7340.56900000,13004773.37485400,0
1679871600000,1776.07000000,1783.70000000,1772.71000000,1773.88000000,14628.14020000,1679875199999,26009046.06384000,27245,7400.79230000,13157699.34820100,0
1679875200000,1773.88000000,1780.48000000,1771.95000000,1778.87000000,14534.56030000,1679878799999,25814623.42418600,23650,7677.69570000,13635336.17354500,0
1679878800000,1778.88000000,1780.48000000,1762.97000000,1763.31000000,16424.02810000,1679882399999,29053869.35244600,27277,7446.24020000,13173432.53766900,0
1679882400000,1763.31000000,1765.81000000,1758.94000000,1765.53000000,13562.58880000,1679885999999,23914959.23854400,23038,6314.52450000,11134079.51975700,0
1679886000000,1765.53000000,1767.60000000,1762.70000000,1765.00000000,8173.49010000,1679889599999,14429246.96498400,17879,3997.97140000,7057910.63189200,0
1679889600000,1765.01000000,1767.89000000,1763.94000000,1764.63000000,9030.81440000,1679893199999,15949808.02622000,14696,4176.76320000,7376603.29599800,0
1679893200000,1764.63000000,1765.62000000,1747.23000000,1750.30000000,19518.68260000,1679896799999,34279424.34257500,28839,8891.39810000,15612802.15187200,0
1679896800000,1750.31000000,1755.57000000,1746.57000000,1753.44000000,15041.86320000,1679900399999,26354582.03882500,25612,8108.25270000,14206377.08569200,0
1679900400000,1753.45000000,1756.04000000,1748.88000000,1752.20000000,11788.93140000,1679903999999,20664380.50246800,22026,5764.16500000,10104755.71808100,0
1679904000000,1752.20000000,1759.10000000,1749.37000000,1756.20000000,9656.75020000,1679907599999,16931890.34824200,20196,5172.43880000,9070351.58777600,0
1679907600000,1756.20000000,1765.02000000,1754.49000000,1763.38000000,15640.87710000,1679911199999,27547279.90283800,27344,7199.64710000,12678607.04810500,0
1679911200000,1763.37000000,1766.83000000,1760.14000000,1764.96000000,9224.87100000,1679914799999,16269255.26066200,20574,4765.03610000,8404215.40777900,0
1679914800000,1764.96000000,1770.20000000,1762.71000000,1765.42000000,10745.89410000,1679918399999,18982512.27737700,22901,5277.36930000,9322890.68567800,0
1679918400000,1765.42000000,1769.33000000,1752.49000000,1756.10000000,16119.38870000,1679921999999,28384788.03990300,27519,7247.79770000,12761502.30250200,0
1679922000000,1756.10000000,1764.75000000,1749.11000000,1754.93000000,23030.95600000,1679925599999,40443604.78402500,39243,10462.46960000,18374748.09839000,0
1679925600000,1754.92000000,1757.97000000,1719.37000000,1719.75000000,59571.00950000,1679929199999,103603533.61837400,80017,27586.77350000,47990046.61469800,0
1679929200000,1719.75000000,1721.00000000,1686.13000000,1711.74000000,127541.08210000,1679932799999,217401767.47064200,130551,57794.43030000,98504193.70772600,0
1679932800000,1711.73000000,1732.00000000,1708.17000000,1717.42000000,53200.75260000,1679936399999,91554706.18405100,65423,27106.17820000,46640783.98865500,0
1679936400000,1717.42000000,1720.74000000,1704.30000000,1707.92000000,28355.22620000,1679939999999,48551579.65466200,37382,14217.89960000,24345522.30715600,0
1679940000000,1707.92000000,1719.03000000,1706.19000000,1714.52000000,16569.13550000,1679943599999,28399804.16024300,24361,9298.51950000,15937108.93349600,0
1679943600000,1714.52000000,1719.50000000,1701.06000000,1704.58000000,18981.43920000,1679947199999,32463694.60663000,26287,8118.68000000,13890618.31151600,0
1679947200000,1704.59000000,1709.15000000,1696.29000000,1707.74000000,25315.11270000,1679950799999,43139532.49791100,32470,11989.95170000,20431471.97655900,0
1679950800000,1707.73000000,1717.21000000,1706.00000000,1713.01000000,17479.04200000,1679954399999,29906151.89304200,25735,9668.82650000,16541921.09894100,0
1679954400000,1713.01000000,1715.63000000,1707.06000000,1709.49000000,17793.43580000,1679957999999,30436691.79542600,29215,8620.21920000,14746203.91196000,0
1679958000000,1709.49000000,1716.94000000,1707.57000000,1715.22000000,13263.57070000,1679961599999,22720283.83556400,18018,7725.18230000,13234420.61478100,0
1679961600000,1715.21000000,1719.70000000,1706.29000000,1707.56000000,22447.02630000,1679965199999,38460237.05242000,29681,10165.10880000,17415407.08290500,0
1679965200000,1707.55000000,1726.94000000,1701.13000000,1717.02000000,24530.74280000,1679968799999,42008728.69460400,34733,14839.90150000,25409515.04458100,0
1679968800000,1717.01000000,1718.85000000,1710.00000000,1713.72000000,9354.54340000,1679972399999,16036483.09506200,16385,4599.41850000,7884294.33330900,0
1679972400000,1713.71000000,1713.95000000,1709.25000000,1711.65000000,8074.05830000,1679975999999,13819589.91421300,15007,3829.30090000,6554565.66401700,0
1679976000000,1711.65000000,1718.17000000,1709.53000000,1718.16000000,12827.88620000,1679979599999,21976918.54980300,18858,6880.02940000,11787199.84983100,0
1679979600000,1718.16000000,1724.31000000,1714.27000000,1724.30000000,15892.41560000,1679983199999,27309379.49172800,19949,9067.85400000,15585030.39791700,0
1679983200000,1724.31000000,1735.93000000,1723.62000000,1731.44000000,21886.58010000,1679986799999,37890525.95475400,33181,12634.95270000,21872720.90175600,0
1679986800000,1731.44000000,1734.05000000,1723.00000000,1724.53000000,14031.44570000,1679990399999,24254222.65288100,21162,7622.36580000,13177582.25850900,0
1679990400000,1724.54000000,1729.30000000,1721.61000000,1728.07000000,10987.08680000,1679993999999,18954490.80019600,18307,5826.01370000,10051058.90875400,0
1679994000000,1728.06000000,1729.02000000,1716.15000000,1718.70000000,11686.61900000,1679997599999,20130407.45432300,19963,5414.42290000,9328013.79307700,0
1679997600000,1718.70000000,1722.13000000,1709.87000000,1717.58000000,24343.40780000,1680001199999,41799780.83837600,33329,11563.59420000,19853477.58105900,0
1680001200000,1717.58000000,1754.48000000,1717.32000000,1745.48000000,38179.01690000,1680004799999,66347900.67912800,55112,19743.53560000,34301870.95879300,0
1680004800000,1745.48000000,1751.07000000,1730.02000000,1737.05000000,28499.82650000,1680008399999,49606614.29109400,39084,14960.89340000,26040577.88860400,0
1680008400000,1737.05000000,1745.00000000,1730.89000000,1737.60000000,23455.41550000,1680011999999,40769209.46552400,35700,12155.00700000,21125768.70871100,0
1680012000000,1737.59000000,1751.41000000,1735.71000000,1740.03000000,31254.80830000,1680015599999,54501229.53287300,38493,17264.54840000,30101088.32660500,0
1680015600000,1740.04000000,1746.54000000,1737.04000000,1744.08000000,18881.51430000,1680019199999,32891782.79624800,28062,10371.56090000,18068523.48862100,0
1680019200000,1744.08000000,1747.53000000,1732.47000000,1735.31000000,17449.81830000,1680022799999,30329254.96164600,28180,8321.54100000,14465938.14877800,0
1680022800000,1735.32000000,1739.78000000,1727.35000000,1736.42000000,18446.75380000,1680026399999,31979970.66275100,28151,9727.91250000,16865601.64075700,0
1680026400000,1736.42000000,1780.99000000,1735.33000000,1777.23000000,64837.52920000,1680029999999,114286765.23710400,78502,35516.17860000,62577316.70962900,0
1680030000000,1777.23000000,1795.73000000,1766.98000000,1785.85000000,55244.72960000,1680033599999,98204744.09840100,71300,29715.25250000,52827292.13161100,0
1680033600000,1785.84000000,1790.54000000,1771.17000000,1774.54000000,22581.58780000,1680037199999,40199585.36240000,38185,12876.42340000,22925209.66286800,0
1680037200000,1774.54000000,1775.82000000,1762.00000000,1769.05000000,15076.17870000,1680040799999,26704960.88756000,24098,6746.85780000,11949089.74370200,0
1680040800000,1769.04000000,1773.09000000,1766.39000000,1770.48000000,11546.62780000,1680044399999,20441877.09357200,19270,6075.68420000,10756826.23407100,0
1680044400000,1770.47000000,1777.75000000,1770.47000000,1772.99000000,14995.77860000,1680047999999,26602724.58301700,22195,10458.85870000,18552127.36589200,0
1680048000000,1773.00000000,1778.30000000,1772.48000000,1775.24000000,16888.86840000,1680051599999,29980777.85316500,23511,9158.69810000,16257662.77899500,0
1680051600000,1775.24000000,1788.99000000,1775.24000000,1778.47000000,23068.01210000,1680055199999,41093706.27995200,30291,11732.92640000,20901776.53468400,0
1680055200000,1778.47000000,1782.72000000,1777.05000000,1779.42000000,11767.33650000,1680058799999,20942093.93416200,18357,5937.51730000,10566981.64130800,0
1680058800000,1779.42000000,1781.00000000,1775.01000000,1778.07000000,11381.57000000,1680062399999,20241405.92358600,19976,6588.01190000,11716616.74631900,0
1680062400000,1778.06000000,1799.00000000,1778.06000000,1791.85000000,28314.78390000,1680065999999,50674500.52039200,39407,16127.50860000,28859265.00660000,0
1680066000000,1791.85000000,1795.02000000,1787.71000000,1789.67000000,16992.13940000,1680069599999,30431846.38735700,27978,9037.50610000,16184572.99945100,0
1680069600000,1789.67000000,1818.00000000,1786.34000000,1805.06000000,61339.82600000,1680073199999,110693352.34825500,75581,33616.96680000,60654708.32055500,0
1680073200000,1805.06000000,1811.51000000,1803.06000000,1804.86000000,20279.14610000,1680076799999,36638770.12490900,38841,10774.45400000,19465471.68652100,0
1680076800000,1804.85000000,1827.99000000,1799.66000000,1820.63000000,61714.37180000,1680080399999,112160525.98412400,82062,33543.30550000,60961166.45268100,0
1680080400000,1820.63000000,1824.76000000,1813.99000000,1814.24000000,24170.19510000,1680083999999,43972113.60640900,39027,12394.18520000,22549161.57246500,0
1680084000000,1814.25000000,1817.79000000,1808.14000000,1810.97000000,21130.59550000,1680087599999,38331542.95496200,33854,10742.74010000,19487197.45714500,0
1680087600000,1810.97000000,1812.00000000,1805.00000000,1811.22000000,16584.40210000,1680091199999,29994642.19559800,30192,8863.45040000,16030738.00503100,0
1680091200000,1811.23000000,1812.87000000,1801.45000000,1810.83000000,24839.07730000,1680094799999,44887542.79104500,38080,12578.45440000,22731677.25092700,0
1680094800000,1810.84000000,1815.00000000,1804.00000000,1810.18000000,22452.85850000,1680098399999,40621162.19538100,35135,11689.43250000,21148253.37772500,0
1680098400000,1810.17000000,1816.42000000,1792.43000000,1796.64000000,35337.70570000,1680101999999,63715381.13930700,51535,16809.52210000,30312286.94373600,0
1680102000000,1796.65000000,1809.62000000,1793.94000000,1807.68000000,18245.74390000,1680105599999,32896633.31287900,32952,10069.09880000,18157084.51924200,0
1680105600000,1807.67000000,1808.62000000,1791.88000000,1793.24000000,18346.09370000,1680109199999,33031952.37112000,28958,9174.39780000,16519375.76953500,0
1680109200000,1793.24000000,1803.99000000,1792.20000000,1798.50000000,14488.27330000,1680112799999,26061906.42087600,24456,8185.05550000,14723228.55183900,0
1680112800000,1798.51000000,1806.33000000,1795.89000000,1803.81000000,12473.43330000,1680116399999,22468993.24741000,21517,7247.35460000,13055595.14177900,0
1680116400000,1803.79000000,1812.00000000,1801.80000000,1809.02000000,14319.20110000,1680119999999,25861682.88858200,22410,8534.55230000,15414259.68496300,0
1680120000000,1809.02000000,1809.60000000,1802.12000000,1803.47000000,12499.24420000,1680123599999,22579531.69889000,16927,5434.64060000,9816755.41646400,0
1680123600000,1803.48000000,1805.84000000,1794.37000000,1794.61000000,9474.70240000,1680127199999,17068957.89678900,20892,4415.83800000,7955735.71103300,0
1680127200000,1794.61000000,1796.30000000,1782.71000000,1790.52000000,27225.98580000,1680130799999,48697518.33630100,36979,13253.80550000,23706077.25385200,0
1680130800000,1790.52000000,1800.00000000,1789.81000000,1793.07000000,13532.03110000,1680134399999,24295770.67078300,21582,8037.12340000,14432273.48883300,0
1680134400000,1793.06000000,1799.26000000,1776.43000000,1785.26000000,20939.40890000,1680137999999,37451459.14774400,32938,9963.76730000,17823025.41288700,0
1680138000000,1785.25000000,1794.00000000,1781.33000000,1791.09000000,26171.31300000,1680141599999,46805027.23961700,40792,15415.30630000,27567727.63808900,0
1680141600000,1791.09000000,1829.69000000,1790.47000000,1816.80000000,61455.44710000,1680145199999,111620194.18264500,77229,32389.02110000,58810833.48596700,0
1680145200000,1816.80000000,1817.84000000,1766.50000000,1787.66000000,78152.82540000,1680148799999,139572762.12936500,102244,36912.79190000,65915538.04803300,0
1680148800000,1787.66000000,1799.36000000,1785.52000000,1796.82000000,21351.82000000,1680152399999,38299622.68111200,32399,11379.12890000,20411531.42224300,0
1680152400000,1796.81000000,1798.29000000,1791.00000000,1797.13000000,12402.91760000,1680155999999,22254566.51533200,22383,6238.27560000,11194743.37834000,0
1680156000000,1797.13000000,1802.01000000,1792.80000000,1796.16000000,21874.85300000,1680159599999,39309169.47307100,36266,11842.09790000,21282465.27914300,0
1680159600000,1796.15000000,1813.27000000,1794.50000000,1806.47000000,23067.47570000,1680163199999,41607761.88338200,43344,12067.57360000,21768579.31161000,0
1680163200000,1806.46000000,1808.46000000,1798.37000000,1799.12000000,18099.29110000,1680166799999,32640892.40646300,26961,9569.59280000,17259215.94044700,0
1680166800000,1799.13000000,1801.53000000,1793.40000000,1800.63000000,14743.22400000,1680170399999,26506348.14084200,27349,7830.99340000,14079378.76029700,0
1680170400000,1800.64000000,1806.00000000,1798.27000000,1803.53000000,11582.38440000,1680173999999,20863363.58169600,20947,6793.09080000,12236418.63476000,0
1680174000000,1803.52000000,1807.27000000,1801.74000000,1804.62000000,11504.45340000,1680177599999,20761950.39666300,21746,6527.08860000,11779439.02601800,0
1680177600000,1804.62000000,1805.88000000,1797.05000000,1804.21000000,16682.87890000,1680181199999,30068732.29961500,27458,8300.48080000,14960957.09956300,0
1680181200000,1804.20000000,1804.95000000,1793.13000000,1797.69000000,18234.86860000,1680184799999,32832109.06428700,31575,8966.41160000,16145044.30870500,0
1680184800000,1797.69000000,1798.72000000,1786.50000000,1795.01000000,27531.96310000,1680188399999,49368423.93481400,40963,12969.71170000,23256545.20131200,0
1680188400000,1795.00000000,1796.61000000,1784.18000000,1789.42000000,27665.65780000,1680191999999,49538030.47289700,32866,14218.24340000,25464749.54628400,0
1680192000000,1789.41000000,1791.82000000,1778.64000000,1785.56000000,31185.22550000,1680195599999,55674903.91750200,40648,15901.75300000,28392789.56030900,0
1680195600000,1785.56000000,1787.42000000,1763.00000000,1770.18000000,40953.15500000,1680199199999,72601805.16921900,53571,19557.35760000,34666318.62687700,0
1680199200000,1770.19000000,1777.02000000,1767.21000000,1776.60000000,17891.60330000,1680202799999,31708759.90894200,27726,10099.48210000,17899826.14461900,0
1680202800000,1776.60000000,1784.20000000,1775.20000000,1781.62000000,13534.71560000,1680206399999,24091591.57018300,19370,7280.19940000,12957624.60360500,0
1680206400000,1781.63000000,1798.96000000,1779.10000000,1795.23000000,22030.79070000,1680209999999,39455209.24417300,28339,12228.50770000,21899155.04739700,0
